area,best_by_seed_mean,second_by_seed_mean,best_mean_rmse,second_mean_rmse,gap_rmse,best_seed_sd,second_seed_sd,largest_seed_sd_in_area,ranges_overlap,gap_exceeds_combined_sd,reference_seed_best,reference_seed_agrees_with_mean
4159,RidgeAR,CausalCNN,19.882086911566045,20.153238467602574,0.2711515560365285,0.0,0.7808803169109719,1.2645998933793132,True,False,RidgeAR,True
4556,RidgeAR,CausalCNN,35.57099822440887,37.650884288413465,2.0798860640045973,0.0,1.1453113727042723,2.0081732289273897,False,True,RidgeAR,True
5059,RidgeAR,LSTM,99.65507531336213,101.8241987135457,2.1691234001835653,0.0,4.426740347869221,4.426740347869221,True,False,RidgeAR,True
5161,CausalCNN,LSTM,118.49124558674164,120.12089099609345,1.6296454093518093,2.9071588311358063,1.9280341848432547,2.9071588311358063,True,False,CausalCNN,True
5259,CausalCNN,RidgeAR,91.17673689245935,93.16978246282308,1.9930455703637335,2.277918991003573,0.0,2.277918991003573,True,False,RidgeAR,False
