area,model,seed,n,mae,rmse,mape_percent_nonzero,mape_excluded_zero_targets
5161,RidgeAR,42,1008,85.07857140216593,124.18485746372804,9.803476883335774,0
5161,LSTM,42,1008,81.13416135270025,118.42434514626909,9.092943273136402,0
5161,CausalCNN,42,1008,79.95818933865417,118.1627368595994,8.358223886467218,0
5059,RidgeAR,42,1008,71.79169425426437,99.65507531336213,7.905170649063407,0
5059,LSTM,42,1008,75.46163294238313,106.21623388130436,7.775558752128024,0
5059,CausalCNN,42,1008,73.96098613622254,103.4857135130612,7.606471612142324,0
5259,RidgeAR,42,1008,65.86149413460485,93.16978246282306,7.740228462798111,0
5259,LSTM,42,1008,66.83920837293768,95.01969733713563,7.824653456767373,0
5259,CausalCNN,42,1008,66.64406872332432,93.61361688298207,8.21170292426656,0
4159,RidgeAR,42,1008,14.839426382312391,19.882086911566045,6.650413733596855,0
4159,LSTM,42,1008,15.090363398970945,20.27706225968434,6.71037567252309,0
4159,CausalCNN,42,1008,15.829680414671522,21.05116402515665,7.1982565895370145,0
4556,RidgeAR,42,1008,26.49945441968016,35.57099822440887,6.156010041241585,0
4556,LSTM,42,1008,29.922021053658817,39.75963487566354,7.214681754210639,0
4556,CausalCNN,42,1008,27.696046351617003,36.4150083856821,6.454461493342828,0
5161,Persistence,42,1008,92.80192138470153,134.8777437446081,9.1943495271101,0
5161,Daily seasonal,42,1008,338.59370736714794,619.0400274359395,25.939769358514592,0
5059,Persistence,42,1008,81.51690039294506,114.37504426983237,7.9590738542582065,0
5059,Daily seasonal,42,1008,171.73573905309502,245.87017423262148,18.018542239356837,0
5259,Persistence,42,1008,75.96750464580491,109.57840495553346,8.11478070887649,0
5259,Daily seasonal,42,1008,470.3205255234399,861.6205833784653,71.62103006395785,0
4159,Persistence,42,1008,15.952483640189508,21.544433472415633,6.982253275598951,0
4159,Daily seasonal,42,1008,51.18734363709959,84.64291135540961,21.804326276681675,0
4556,Persistence,42,1008,28.861587223362747,39.620965055109686,6.599804456770182,0
4556,Daily seasonal,42,1008,76.33840088004187,108.35136069526746,17.45821587884242,0
