area,model,seed,n,mae,rmse,mape_percent_nonzero,mape_excluded_zero_targets
5161,Persistence,42,1008,92.80192138470153,134.8777437446081,9.1943495271101,0
5161,Daily seasonal,42,1008,338.59370736714794,619.0400274359395,25.939769358514592,0
5059,Persistence,42,1008,81.51690039294506,114.37504426983237,7.9590738542582065,0
5059,Daily seasonal,42,1008,171.73573905309502,245.87017423262148,18.018542239356837,0
5259,Persistence,42,1008,75.96750464580491,109.57840495553346,8.11478070887649,0
5259,Daily seasonal,42,1008,470.3205255234399,861.6205833784653,71.62103006395785,0
4159,Persistence,42,1008,15.952483640189508,21.544433472415633,6.982253275598951,0
4159,Daily seasonal,42,1008,51.18734363709959,84.64291135540961,21.804326276681675,0
4556,Persistence,42,1008,28.861587223362747,39.620965055109686,6.599804456770182,0
4556,Daily seasonal,42,1008,76.33840088004187,108.35136069526746,17.45821587884242,0
