area,model,lowest_decile_bias,highest_decile_bias,highest_decile_mae,overall_bias
5161,RidgeAR,16.431144259966203,-80.78085987303659,164.3982377882084,4.220558518543895
5161,LSTM,13.335114682982422,-50.30900353957373,151.84131746102835,7.650945107083051
5161,CausalCNN,4.276557412205315,-36.17636079891335,152.0608539637356,2.721791570791879
5059,RidgeAR,29.114822429045308,-73.43854472679203,129.25338248235988,7.511401380517679
5059,LSTM,19.041965991796403,-80.59088637469554,140.30689308402842,4.293322584835799
5059,CausalCNN,12.500221408749804,-35.199829634352554,113.17945683620093,24.495377537311267
5259,RidgeAR,23.07992989355927,-41.23838816084658,125.3630475566984,1.0363938260082617
5259,LSTM,-3.4597797621378343,-30.581658206542496,130.7438524496305,2.0280046833307344
5259,CausalCNN,-3.8451950750733506,13.461733425429015,135.99312183071132,17.352412762336026
4159,RidgeAR,7.069100567503423,-10.8211437754188,20.815312795607547,1.6609015355107373
4159,LSTM,7.628034572577588,-17.128165842629855,24.415359301880983,0.7605438593586455
4159,CausalCNN,9.600187898760554,-6.575868074354594,20.27202760276128,6.258059244961394
4556,RidgeAR,14.39678444458592,-20.423388428204728,38.96136553011147,6.173703795381856
4556,LSTM,18.560369833305366,-10.828220882658327,40.09389448449726,13.231642452694821
4556,CausalCNN,1.6655521209482236,-23.59243065711945,38.579230802877085,4.800904142949128
