area,model,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mape_mean
4159,CausalCNN,20.153238467602574,0.7808803169109719,19.633062353295024,21.05116402515665,14.92778006999564,6.7208900991265565
4159,LSTM,20.724527547127412,1.2645998933793132,19.74449775467847,22.152022627019427,15.276611527507185,6.731644197059258
4159,RidgeAR,19.882086911566045,0.0,19.882086911566045,19.882086911566045,14.839426382312391,6.650413733596854
4556,CausalCNN,37.650884288413465,1.1453113727042714,36.4150083856821,38.67649392782198,28.797976625817004,6.7839144308298716
4556,LSTM,42.077863633445894,2.0081732289273897,39.75963487566354,43.28303544739178,32.450474784730865,8.099032319502932
4556,RidgeAR,35.57099822440887,0.0,35.57099822440887,35.57099822440887,26.49945441968016,6.156010041241584
5059,CausalCNN,103.68456769003842,2.582763424009614,101.20697912730837,106.36101042974568,73.51154696823735,7.636491851461
5059,LSTM,101.8241987135457,4.4267403478692255,97.36355082400239,106.21623388130436,72.00167498234025,7.412051430167509
5059,RidgeAR,99.65507531336213,0.0,99.65507531336213,99.65507531336213,71.79169425426437,7.905170649063407
5161,CausalCNN,118.49124558674163,2.9071588311358143,115.76229515604143,121.54870474458406,79.95589606903081,8.503206572235477
5161,LSTM,120.12089099609345,1.9280341848432514,118.42434514626909,122.2176089348156,82.65726490219633,9.179994094463213
5161,RidgeAR,124.18485746372805,0.0,124.18485746372804,124.18485746372804,85.07857140216593,9.803476883335774
5259,CausalCNN,91.17673689245935,2.2779189910035695,89.10090150216885,93.61361688298207,65.17839231774843,8.03287724736448
5259,LSTM,96.05143246035796,1.6730208443375785,95.01969733713563,97.98174009571565,67.33245082198913,7.824614509152496
5259,RidgeAR,93.16978246282308,0.0,93.16978246282306,93.16978246282306,65.86149413460485,7.740228462798111
