area,model,seed,parameters,epochs,epoch_budget,stopped_early,best_epoch,train_seconds,batch_inference_seconds,single_inference_ms
5161,RidgeAR,42,145,0,,,,0.04751274996669963,0.00010095798643305898,0.04552101017907262
5161,LSTM,42,1169,19,80.0,True,15.0,18.800952707999386,0.036582416971214116,2.2115419851616025
5161,CausalCNN,42,4785,11,80.0,True,7.0,9.406909249955788,0.03655179199995473,0.36202100454829633
5161,RidgeAR,43,145,0,,,,0.0596457080100663,0.00010358402505517006,0.0451250234618783
5161,LSTM,43,1169,9,80.0,True,5.0,9.224894083978143,0.03562329197302461,2.2481254709418863
5161,CausalCNN,43,4785,23,80.0,True,19.0,18.729287624999415,0.03421974997036159,0.3705624840222299
5161,RidgeAR,44,145,0,,,,0.04401820799103007,9.887502528727055e-05,0.04549999721348286
5161,LSTM,44,1169,11,80.0,True,7.0,10.42129433399532,0.0330190000240691,2.1753960172645748
5161,CausalCNN,44,4785,23,80.0,True,19.0,16.224032250000164,0.03141437500016764,0.3112704725936055
5059,RidgeAR,42,145,0,,,,0.04189262504223734,0.00010725000174716115,0.04341697786003351
5059,LSTM,42,1169,10,80.0,True,6.0,9.464650332985912,0.03446779097430408,2.011479518841952
5059,CausalCNN,42,4785,17,80.0,True,13.0,13.021707291016355,0.030038999975658953,0.30839547980576754
5059,RidgeAR,43,145,0,,,,0.04179129202384502,0.00010325002949684858,0.04283300950191915
5059,LSTM,43,1169,21,80.0,True,17.0,18.838220167031977,0.034377708041574806,2.0628329657483846
5059,CausalCNN,43,4785,12,80.0,True,8.0,9.447697875031736,0.031242624972946942,0.2751454885583371
5059,RidgeAR,44,145,0,,,,0.04290599998785183,9.854196105152369e-05,0.042437983211129904
5059,LSTM,44,1169,27,80.0,True,23.0,23.84648470801767,0.034442959004081786,2.0959169778507203
5059,CausalCNN,44,4785,30,80.0,True,26.0,20.04611533298157,0.032300040998961776,0.3159169864375144
5259,RidgeAR,42,145,0,,,,0.04219508299138397,0.00010166701395064592,0.042166997445747256
5259,LSTM,42,1169,43,80.0,True,39.0,36.67868708301103,0.0357252910034731,2.108271495671943
5259,CausalCNN,42,4785,50,80.0,True,46.0,32.38163779198658,0.030437666981015354,0.3057080029975623
5259,RidgeAR,43,145,0,,,,0.041446082992479205,9.912496898323298e-05,0.041937484638765454
5259,LSTM,43,1169,55,80.0,True,51.0,47.61660904204473,0.03458645800128579,2.1370000031311065
5259,CausalCNN,43,4785,41,80.0,True,37.0,28.164306957973167,0.030839917017146945,0.29304149211384356
5259,RidgeAR,44,145,0,,,,0.04150004195980728,9.612500434741378e-05,0.0424169993493706
5259,LSTM,44,1169,33,80.0,True,29.0,29.11647345899837,0.03436216700356454,2.2142084781080484
5259,CausalCNN,44,4785,29,80.0,True,25.0,20.539268374966923,0.03071187500609085,0.32356250449083745
4159,RidgeAR,42,145,0,,,,0.04257666697958484,9.745894931256771e-05,0.04289599019102752
4159,LSTM,42,1169,34,80.0,True,30.0,29.762674540979788,0.03455058304825798,2.136874507414177
4159,CausalCNN,42,4785,24,80.0,True,20.0,17.079653583001345,0.029085334041155875,0.2759580092970282
4159,RidgeAR,43,145,0,,,,0.058273208036553115,0.00010058301268145442,0.09643749217502773
4159,LSTM,43,1169,38,80.0,True,34.0,32.85745270899497,0.034333999967202544,1.929041522089392
4159,CausalCNN,43,4785,20,80.0,True,16.0,13.08515408297535,0.0291158749605529,0.2734790032263845
4159,RidgeAR,44,145,0,,,,0.05254362500272691,0.00010075001046061516,0.04252148210071027
4159,LSTM,44,1169,23,80.0,True,19.0,18.685116666951217,0.03453933302080259,1.9067499961238354
4159,CausalCNN,44,4785,23,80.0,True,19.0,14.649403999967035,0.029521375021431595,0.25952100986614823
4556,RidgeAR,42,145,0,,,,0.044375833007507026,9.799998952075839e-05,0.04258350236341357
4556,LSTM,42,1169,19,80.0,True,15.0,15.263770083955023,0.03420354099944234,1.9022704800590873
4556,CausalCNN,42,4785,21,80.0,True,17.0,13.540238042012788,0.02760562498588115,0.26177053223364055
4556,RidgeAR,43,145,0,,,,0.04438450001180172,9.691697778180242e-05,0.04287550109438598
4556,LSTM,43,1169,33,80.0,True,29.0,25.463696040969808,0.0339048330206424,1.9135000184178352
4556,CausalCNN,43,4785,24,80.0,True,20.0,15.26912212499883,0.028658583003561944,0.2596039848867804
4556,RidgeAR,44,145,0,,,,0.05137837497750297,0.00010470900451764464,0.04341648309491575
4556,LSTM,44,1169,27,80.0,True,23.0,20.842813000024762,0.03408779203891754,1.9450834952294827
4556,CausalCNN,44,4785,21,80.0,True,17.0,14.76670091698179,0.02881870901910588,0.2676870208233595
