area,model,actual_lower,actual_upper,n,bias,mae
5161,RidgeAR,108.15299999999999,169.945,101,16.431144259966203,23.675267173017424
5161,RidgeAR,169.945,209.832,101,8.686832667019658,27.770294939760955
5161,RidgeAR,209.832,289.338,101,5.771002900791295,35.852167045985496
5161,RidgeAR,289.338,477.961,100,9.843378510070657,55.55355007878019
5161,RidgeAR,477.961,881.709,101,-14.5099045798743,59.68586388017848
5161,RidgeAR,881.709,1476.8,101,7.4493135217191995,94.72710771804654
5161,RidgeAR,1476.8,2297.9,100,31.124163983486707,107.63095606132974
5161,RidgeAR,2297.9,2805.994,101,39.03839362072741,128.5621285087129
5161,RidgeAR,2805.994,3384.425,101,19.47416399096941,152.86110482106284
5161,RidgeAR,3384.425,5496.44,101,-80.78085987303659,164.3982377882084
5161,LSTM,108.15299999999999,169.945,101,13.335114682982422,22.4594120319134
5161,LSTM,169.945,209.832,101,8.839735717351443,24.335468088184708
5161,LSTM,209.832,289.338,101,13.238483073922913,31.350213286478816
5161,LSTM,289.338,477.961,100,10.482638723445744,46.70055675517249
5161,LSTM,477.961,881.709,101,1.2417058656298334,65.71163763447471
5161,LSTM,881.709,1476.8,101,11.137870836119811,84.46237210217423
5161,LSTM,1476.8,2297.9,100,28.191424588583544,107.31894489714733
5161,LSTM,2297.9,2805.994,101,14.72327168853245,128.5172258862416
5161,LSTM,2805.994,3384.425,101,25.85961708827037,148.56279388861168
5161,LSTM,3384.425,5496.44,101,-50.30900353957373,151.84131746102835
5161,CausalCNN,108.15299999999999,169.945,101,4.276557412205315,17.01284028847395
5161,CausalCNN,169.945,209.832,101,-0.2578930529893466,20.614883040509703
5161,CausalCNN,209.832,289.338,101,6.091068202625059,28.911341050281322
5161,CausalCNN,289.338,477.961,100,1.2600503082998733,44.61677670676138
5161,CausalCNN,477.961,881.709,101,-4.696916108597614,66.53553225651488
5161,CausalCNN,881.709,1476.8,101,4.327664300100611,84.43263148458115
5161,CausalCNN,1476.8,2297.9,100,18.508030003927782,107.28751517312953
5161,CausalCNN,2297.9,2805.994,101,12.433238445157196,129.32041536863093
5161,CausalCNN,2805.994,3384.425,101,21.594303700763103,148.70977646186964
5161,CausalCNN,3384.425,5496.44,101,-36.17636079891335,152.0608539637356
5059,RidgeAR,182.26,274.278,101,29.114822429045308,32.521485279663096
5059,RidgeAR,274.278,332.329,101,17.58691626770032,31.414516809920535
5059,RidgeAR,332.329,418.546,101,11.37554775556069,41.00280002162546
5059,RidgeAR,418.546,631.51,100,6.845911027030192,44.98285443002891
5059,RidgeAR,631.51,927.314,101,-2.1767005753799316,66.77968715364666
5059,RidgeAR,927.314,1471.798,101,0.6532094949030108,88.85387256874021
5059,RidgeAR,1471.798,2005.5,100,10.95426880978036,91.32525375160726
5059,RidgeAR,2005.5,2378.965,101,34.51428694283371,104.58469579507819
5059,RidgeAR,2378.965,2633.186,101,39.71179516342363,87.12636177148947
5059,RidgeAR,2633.186,3207.108,101,-73.43854472679203,129.25338248235988
5059,LSTM,182.26,274.278,101,19.041965991796403,28.201784518437876
5059,LSTM,274.278,332.329,101,4.146628520547363,32.30512174402087
5059,LSTM,332.329,418.546,101,1.512900078443638,36.89733860588402
5059,LSTM,418.546,631.51,100,-0.35151985601977287,43.608754487311224
5059,LSTM,631.51,927.314,101,-9.866878305194293,65.81919586092138
5059,LSTM,927.314,1471.798,101,7.755781597113334,86.26385060174485
5059,LSTM,1471.798,2005.5,100,33.27238154314446,100.20098168129549
5059,LSTM,2005.5,2378.965,101,22.02376709876438,115.96365948041824
5059,LSTM,2378.965,2633.186,101,46.230018391264494,104.97831837248013
5059,LSTM,2633.186,3207.108,101,-80.59088637469554,140.30689308402842
5059,CausalCNN,182.26,274.278,101,12.500221408749804,24.51474338004688
5059,CausalCNN,274.278,332.329,101,1.001613538208775,29.990672879721487
5059,CausalCNN,332.329,418.546,101,-0.16428361536604105,35.509147748962114
5059,CausalCNN,418.546,631.51,100,17.630653101937014,49.13920468940114
5059,CausalCNN,631.51,927.314,101,11.18875751650698,68.99515130631193
5059,CausalCNN,927.314,1471.798,101,38.19848426348097,91.35700382610953
5059,CausalCNN,1471.798,2005.5,100,58.565694141611345,106.94791653293025
5059,CausalCNN,2005.5,2378.965,101,59.461710122974765,112.2311629981096
5059,CausalCNN,2378.965,2633.186,101,82.04011682806386,107.82624422334136
5059,CausalCNN,2633.186,3207.108,101,-35.199829634352554,113.17945683620093
5259,RidgeAR,161.445,246.621,101,23.07992989355927,31.091740394571033
5259,RidgeAR,246.621,332.341,101,22.44247455774526,34.42973637673556
5259,RidgeAR,332.341,422.229,101,8.22270282431389,29.644497067568118
5259,RidgeAR,422.229,509.15,100,17.511166521466492,40.58003417914404
5259,RidgeAR,509.15,651.26,101,5.537333429403295,43.58401105817168
